A3,PA3
C0,PC0
C3,PC3
B1,PB1
C2,PC2
F10,PF10
F4,PF4
F5,PF5
B7,PB7
G14,PG14
E13,PE13
E14,PE14
E11,PE11
G12,PG12
F3,PF3
D15,PD15
D14,PD14
B5,PB5
B12,PB12
A15,PA15
B3,PB3
B4,PB4
G6,PG6
B2,PB2
D13,PD13
D11,PD11
E2,PE2
A0,PA0
LAN_RST,PB0
E15,PE15
E6,PE6
E12,PE12
E10,PE10
C8,PC8
C10,PC10
C11,PC11
C12,PC12
D2,PD2
G2,PG2
G3,PG3
D6,PD6
D5,PD5
D4,PD4
D3,PD3
E2,PE2
E4,PE4
E5,PE5
E6,PE6
E3,PE3
F8,PF8
F9,PF9
G1,PG1
G0,PG0
D1,PD1
D0,PD0
F2,PF2
E9,PE9
B2,PB2
G9,PG9
F11,PF11
C13,PC13
I2C1_SDA,PB9
I2C1_SCL,PB8
I2C2_SDA,PB11
I2C2_SCL,PB10
I2C3_SDA,PC9
I2C3_SCL,PA8
I2C4_SCL,PF14
I2C4_SDA,PF15
OTG_FS_POWER,PD10
G7,PG7
USB_VBUS,PA9
A10,PA10
USB_DM,PA11
USB_DP,PA12
UART1_TX,PB14
UART1_RX,PB15
UART3_TX,PD8
UART3_RX,PD9
UART6_TX,PC6
UART6_RX,PC7
UART7_TX,PE8
UART7_RX,PE7
UART8_TX,PE1
UART8_RX,PE0
ETH_MDC,PC1
ETH_MDIO,PA2
ETH_RMII_REF_CLK,PA1
ETH_RMII_CRS_DV,PA7
ETH_RMII_RXD0,PC4
ETH_RMII_RXD1,PC5
ETH_RMII_TX_EN,PG11
ETH_RMII_TXD0,PG13
ETH_RMII_TXD1,PB13
SPI1_MISO,PA6
SPI1_CLK,PA5
SPI1_CS,PA4
SPI1_MOSI,PD7
B6,PB6
F6,PF6
F7,PF7
F12,PF12
G8,PG8
G15,PG15
